Text,Username,like Count,retweet Count,reply Count,Datetime
"@the_hindu 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 21:13:54+00:00
"@casansaar 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 21:12:52+00:00
"@CAclubindia Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 21:11:42+00:00
"@EODB_India 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 21:09:23+00:00
"@nsitharamanoffc Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 21:07:27+00:00
"@ICAICMA 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:43:03+00:00
"@theicai 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:42:38+00:00
"@EconomicTimes 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:41:23+00:00
"@amitabhk87 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:38:07+00:00
"@NITIAayog 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:37:46+00:00
"@minmsme 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:37:06+00:00
"@ianuragthakur 
Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:35:40+00:00
"@nsitharaman 

Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down.
Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave",MohitSa93812662,0,0,0,2021-05-02 19:35:16+00:00
@startup_whistle Request you to please DM us your MMT booking details for us to check and assist you.  https://t.co/jq6HypUQKH,makemytripcare,0,0,0,2021-05-02 15:52:37+00:00
